business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
96824,"OUT THE DOUGH, LLC",28 Trinity Pl,San Francisco,CA,94102,,,,+14155605991,96824_20180803,2018-08-03T00:00:00.000,,Non-inspection site visit,,,,,,,,,
90977,Kahnfections,3321 20th St.,San Francisco,CA,94110,,,,,90977_20190906,2019-09-06T00:00:00.000,92,Routine - Unscheduled,90977_20190906_103138,Improper storage use or identification of toxic substances,Low Risk,,,,,,
38606,Milan,606 Geary St,San Francisco,CA,94102,37.786748,-122.413404,"{'type': 'Point', 'coordinates': [-122.413404, 37.786748]}",,38606_20190520,2019-05-20T00:00:00.000,,Reinspection/Followup,,,,36,1,10,5,28852,36
89338,Nabe,2151 Lombard St,San Francisco,CA,94123,,,,,89338_20161028,2016-10-28T00:00:00.000,,New Ownership,,,,,,,,,
86849,Lobsta Truck,Off The Grid,San Francisco,CA,,,,,,86849_20190325,2019-03-25T00:00:00.000,,Structural Inspection,,,,,,,,,
87942,Pizza Zone and Grill,4404 03rd St,San Francisco,CA,94124,,,,,87942_20181003,2018-10-03T00:00:00.000,92,Routine - Unscheduled,87942_20181003_103120,Moderate risk food holding temperature,Moderate Risk,,,,,,
79756,The Crepe House,1755 Polk St,San Francisco,CA,94109,,,,,79756_20180928,2018-09-28T00:00:00.000,85,Routine - Unscheduled,79756_20180928_103114,High risk vermin infestation,High Risk,,,,,,
62462,Gateway Croissants,390 GOLDEN GATE Ave,San Francisco,CA,94102,37.781518,-122.416982,"{'type': 'Point', 'coordinates': [-122.416982, 37.781518]}",,62462_20190612,2019-06-12T00:00:00.000,83,Routine - Unscheduled,62462_20190612_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,36,10,9,7,28852,36
92154,Poke Bowl,3251 20th Ave 250A,San Francisco,CA,94132,,,,,92154_20190805,2019-08-05T00:00:00.000,88,Routine - Unscheduled,92154_20190805_103150,Improper or defective plumbing,Low Risk,,,,,,
100059,DUMPLING ALLEY,2512 CLEMENT ST,San Francisco,CA,94121,,,,,100059_20190815,2019-08-15T00:00:00.000,76,Routine - Unscheduled,100059_20190815_103105,Improper cooling methods,High Risk,,,,,,
